,ident,actual_ident,departuretime,arrivaltime,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
3734,VIR4628,DAL690,1465401540.0,1465412640.0,KMSY,KJFK,A319,First: Refreshments for sale / Economy: Refreshments for sale,12.0,0.0,114.0
3735,AFR2173,DAL690,1465401540.0,1465412640.0,KMSY,KJFK,A319,First: Lunch / Economy: Refreshments for sale,12.0,0.0,114.0
3736,KLM7572,FLG3818,1465386900.0,1465398120.0,KMSY,KJFK,CRJ9,Business: Breakfast / Economy: Refreshments for sale,0.0,12.0,64.0
3737,AZA3506,FLG3818,1465386900.0,1465398120.0,KMSY,KJFK,CRJ9,,0.0,12.0,64.0
3738,BWA17,,1465431900.0,1465445400.0,MKJP,KJFK,B738,First: Dinner / Economy: Dinner,16.0,0.0,138.0
3739,JBU560,,1465397100.0,1465410540.0,MKJP,KJFK,A320,,0.0,0.0,150.0
3740,AZA3330,FLG3793,1465429500.0,1465440480.0,KMSY,KJFK,CRJ9,,0.0,12.0,64.0
3741,VIR4672,FLG3818,1465386900.0,1465398120.0,KMSY,KJFK,CRJ9,Business: Breakfast / Economy: Refreshments for sale,0.0,12.0,64.0
3742,DAL420,,1465402500.0,1465410780.0,KATL,KJFK,B738,First: Lunch / Economy: Lunch,16.0,0.0,144.0
3743,JBU960,,1465368300.0,1465381740.0,MKJP,KJFK,A320,,0.0,0.0,150.0
3744,IBE4873,BAW2273,1465400400.0,1465428600.0,EGKK,KJFK,,,14.0,56.0,227.0
3745,VIR4666,FLG3793,1465429500.0,1465440480.0,KMSY,KJFK,CRJ9,Business: Dinner / Economy: Refreshments for sale,0.0,12.0,64.0
3746,DAL212,,1465378200.0,1465410000.0,LFMN,KJFK,B764,Business: Lunch / Economy: Lunch,0.0,40.0,206.0
3747,ELY8681,JBU576,1465423800.0,1465435020.0,KMSY,KJFK,E190,Economy: No meal,0.0,0.0,100.0
3748,AFR8702,DAL212,1465378200.0,1465410000.0,LFMN,KJFK,B764,Business: Lunch / Economy: Lunch,0.0,40.0,206.0
3749,ELY8683,JBU76,1465394280.0,1465405140.0,KMSY,KJFK,A320,Economy: No meal,0.0,0.0,150.0
3750,RAM9607,JBU76,1465394280.0,1465405140.0,KMSY,KJFK,A320,,0.0,0.0,150.0
3751,UAE6886,JBU576,1465423800.0,1465435020.0,KMSY,KJFK,E190,,0.0,0.0,100.0
3752,JBU1206,,1465455540.0,1465474440.0,KPDX,KJFK,A320,,0.0,0.0,150.0
3753,UAE6888,JBU76,1465394280.0,1465405140.0,KMSY,KJFK,A320,,0.0,0.0,150.0
3754,DAL2340,,1465391040.0,1465410600.0,KPDX,KJFK,B738,First: Breakfast / Economy: Food for sale,16.0,0.0,144.0
3755,JAL5837,JBU776,1465383600.0,1465394340.0,KMSY,KJFK,A320,,0.0,0.0,150.0
